Student_ID,Age,Study_Hours,Attendance_Percent,Assignments_Score,Midterm_Score,Final_Score,Projects_Score
1,24,4.44,82.06,90.27,57.21,38.81,40.97
2,21,3.91,74.46,64.3,53.09,21.55,33.14
3,22,5.29,80.02,61.23,69.44,39.83,34.42
4,24,3.43,93.81,68.54,55.9,31.24,55.64
5,20,4.39,65.92,89.7,76.52,35.84,53.61
6,25,3.1,91.68,74.91,51.25,54.72,
7,22,9.43,93.81,64.03,80.43,76.62,47.47
8,22,5.57,76.58,79.26,68.67,42.49,41.53
9,24,4.1,52.54,55.47,37.4,19.13,33.65
10,19,5.93,70.71,82.22,72.12,55.45,62.5
11,20,5.28,93.56,78.13,54.16,56.65,37.94
12,24,5.06,77.73,67.38,50.96,28.76,52.42
13,20,6.73,66.01,59.42,61.49,49.98,35.3
14,20,7.02,71.94,58.7,63.32,38.14,39.17
15,25,4.44,88.09,80.02,49.88,28.77,54.9
16,22,4.35,84.56,90.43,77.67,62.31,54.57
17,21,4.95,75.13,62.44,59.86,49.04,44.68
18,25,0.9,73.6,78.88,39.92,44.95,42.55
19,25,2.47,73.3,40.69,16.88,0.0,24.44
20,20,8.23,66.93,63.23,66.26,54.67,23.27
21,23,8.79,97.38,71.53,70.04,58.58,33.6
22,22,5.0,74.13,58.35,53.23,39.97,46.98
23,19,6.65,92.61,57.95,54.86,29.84,51.83
24,25,6.12,96.26,61.98,38.51,25.09,29.94
25,21,11.66,89.98,76.38,84.76,70.36,56.04
26,23,7.74,72.82,69.19,65.95,51.03,52.51
27,23,5.24,82.84,38.43,48.45,20.92,37.65
28,19,3.59,77.71,40.19,29.48,18.46,6.08
29,25,2.29,67.16,62.9,60.53,37.14,35.15
30,21,5.91,81.89,78.87,47.89,47.74,45.61
31,22,3.99,63.85,30.79,45.99,28.97,33.38
32,18,2.66,92.25,64.5,43.86,32.08,65.64
33,21,4.21,72.42,64.11,60.68,24.52,42.79
34,19,3.34,80.41,92.83,65.2,59.21,44.84
35,23,8.87,81.4,66.22,83.32,57.2,56.87
36,22,7.26,74.89,77.74,67.94,61.49,67.0
37,21,5.48,85.04,74.12,51.72,56.09,48.73
38,18,8.46,72.3,40.04,70.07,48.11,28.58
39,18,5.65,88.46,83.52,67.42,40.19,65.43
40,20,3.78,61.85,75.23,58.7,26.28,56.11
41,20,8.55,79.52,79.62,90.33,80.94,50.29
42,24,6.58,100.0,100.0,70.99,65.16,68.21
43,19,3.43,66.0,40.74,42.06,15.68,39.68
44,25,5.12,69.87,97.87,68.41,59.69,74.24
45,21,3.75,84.17,67.69,50.9,40.15,43.46
46,21,2.73,80.15,76.31,53.63,36.59,44.85
47,25,7.35,82.21,71.32,53.63,44.83,59.61
48,24,9.32,83.87,65.64,65.59,53.6,36.16
49,23,2.7,85.62,63.45,59.22,41.09,48.42
50,23,6.63,91.32,76.94,77.68,64.58,42.0
51,24,4.2,82.92,49.24,43.25,22.71,44.68
52,23,4.53,75.1,83.26,66.33,56.08,52.6
53,20,4.32,86.07,65.76,50.48,34.04,55.98
54,21,3.77,100.0,55.05,58.93,29.44,45.36
55,24,5.6,76.41,65.25,56.27,32.22,32.6
56,21,3.84,66.31,90.86,67.64,36.52,73.0
57,25,6.04,91.28,63.97,70.81,47.75,63.51
58,18,5.4,76.56,77.38,,53.89,
59,20,5.02,51.93,61.04,69.25,28.33,38.42
60,22,3.68,88.17,83.37,45.29,39.35,46.7
61,20,4.35,71.58,82.28,78.94,44.34,59.3
62,24,7.01,76.91,99.73,79.17,63.45,59.39
63,22,6.5,81.98,69.37,61.73,33.47,65.2
64,18,3.54,80.29,82.03,40.4,30.61,49.34
65,24,5.7,86.51,73.47,58.66,44.09,22.12
66,19,7.0,72.77,91.44,67.9,61.62,63.27
67,21,,84.16,61.22,36.24,22.27,33.67
68,18,6.59,74.89,83.18,70.72,43.63,56.01
69,21,4.17,86.87,69.08,64.27,52.1,44.51
70,23,6.64,85.38,71.04,67.71,53.5,58.63
71,19,3.97,66.77,73.38,59.33,37.78,60.04
72,19,1.89,91.03,75.78,38.29,27.1,46.98
73,18,2.24,71.57,70.26,38.81,17.02,38.49
74,19,5.6,87.7,75.22,81.74,58.78,55.27
75,22,6.02,82.41,95.67,69.35,62.63,62.09
76,19,3.69,100.0,86.78,79.06,41.3,51.71
77,21,6.78,75.32,85.04,71.45,51.23,63.61
78,21,2.18,73.81,65.17,44.57,20.55,45.61
79,24,5.37,77.77,58.66,64.44,42.38,59.25
80,21,3.08,74.36,86.33,,56.41,70.3
81,24,4.2,87.6,85.14,62.5,40.47,48.13
82,21,5.59,58.6,94.09,70.25,46.5,69.5
83,22,3.78,65.36,62.94,49.17,22.22,32.05
84,25,4.73,65.19,68.56,60.01,29.27,53.99
85,24,7.51,89.4,47.41,65.04,42.62,34.3
86,20,4.35,98.53,66.11,53.79,46.95,34.05
87,23,7.17,76.75,86.95,82.7,53.86,64.39
88,18,3.24,75.97,65.0,65.1,39.61,19.59
89,21,6.56,78.84,81.61,74.94,41.36,39.59
90,19,8.38,91.94,69.14,74.68,55.89,50.1
91,25,0.56,66.87,76.86,29.31,10.51,42.88
92,21,3.91,80.86,54.78,19.45,29.93,26.8
93,19,6.65,89.7,73.28,70.8,52.42,36.55
94,23,5.09,84.01,27.13,34.35,0.0,13.89
95,23,6.24,80.27,69.2,57.88,26.07,51.08
96,23,4.29,90.01,47.54,45.75,27.91,39.72
97,19,5.67,45.56,90.09,71.64,52.7,59.71
98,21,5.19,86.13,83.66,78.05,59.88,70.02
99,23,7.84,70.15,79.0,75.65,59.25,60.4
100,22,6.01,56.03,94.82,68.71,61.6,53.87
101,24,6.18,84.13,57.77,66.37,39.79,41.33
102,19,4.68,94.48,98.21,70.55,66.82,48.97
103,19,4.52,76.35,85.98,70.66,34.86,56.41
104,21,4.63,89.43,68.45,51.41,30.21,55.94
105,19,6.29,97.35,89.03,67.63,43.53,65.4
106,19,4.66,93.78,55.41,49.95,31.81,52.6
107,23,6.08,97.68,59.63,57.24,43.87,39.64
108,21,9.65,86.91,62.87,77.98,63.8,63.66
109,23,7.24,78.91,64.07,61.52,47.12,44.09
110,24,4.85,58.78,56.15,31.91,9.9,49.17
111,25,7.9,75.05,90.35,76.97,62.02,61.66
112,24,4.68,67.88,68.12,64.14,25.25,54.93
113,25,1.42,100.0,77.29,45.23,43.94,61.19
114,23,3.48,75.89,63.44,46.37,24.76,39.08
115,24,1.76,79.48,44.69,41.48,10.05,33.1
116,21,4.8,84.62,76.05,53.9,55.72,61.78
117,18,5.54,78.52,43.32,30.54,8.97,27.18
118,23,8.85,98.34,70.97,72.84,53.63,39.15
119,25,6.15,70.53,51.48,48.09,20.88,58.15
120,22,5.06,80.34,100.0,65.58,54.17,57.96
121,25,7.16,69.09,85.67,74.0,60.92,60.43
122,22,1.08,62.16,73.59,49.7,28.55,57.37
123,19,5.97,70.66,90.96,73.82,78.78,54.79
124,24,7.04,77.56,59.31,63.85,24.76,34.33
125,22,2.54,72.85,80.15,72.39,46.95,57.34
126,25,7.79,69.69,75.0,68.97,48.06,35.01
127,19,6.18,61.12,75.96,69.27,41.29,50.16
128,18,4.67,77.0,91.09,63.68,43.22,60.53
129,21,6.77,59.94,82.99,64.24,40.06,52.4
130,21,10.04,87.12,76.33,76.3,83.12,40.5
131,21,5.86,78.99,47.18,44.61,36.51,49.79
132,22,6.0,60.51,57.6,59.26,35.15,43.27
133,18,4.58,74.29,70.16,80.4,60.21,67.13
134,22,3.8,68.97,73.4,48.41,17.51,43.48
135,24,7.16,81.83,55.05,54.75,28.87,31.45
136,22,3.79,94.09,100.0,69.52,36.57,66.02
137,18,5.64,55.5,94.75,78.64,48.06,61.55
138,18,4.54,79.38,81.03,65.38,47.72,42.17
139,24,6.46,76.08,73.08,78.87,55.39,68.92
140,18,6.17,86.06,68.82,38.25,37.66,35.85
141,25,7.58,80.56,57.72,38.18,22.55,19.01
142,18,4.48,68.98,73.16,53.2,42.46,60.62
143,21,4.96,74.17,75.87,72.54,49.78,48.47
144,25,3.54,68.45,53.37,27.87,20.56,25.79
145,25,4.61,90.91,77.01,30.73,15.31,25.84
146,24,6.25,78.26,69.67,69.05,51.59,67.59
147,20,7.01,100.0,43.38,54.35,29.99,21.97
148,20,3.66,77.27,59.09,36.22,18.69,37.15
149,18,7.24,69.5,65.8,55.29,46.81,54.37
150,25,8.21,59.84,100.0,78.15,65.58,70.81
151,20,6.33,56.36,80.35,70.6,40.3,54.79
152,20,9.25,58.99,51.97,59.33,42.45,23.52
153,18,3.95,81.21,79.29,64.36,30.09,44.66
154,20,3.01,84.1,48.79,10.33,17.14,27.17
155,22,1.94,59.03,88.24,47.73,26.1,44.26
156,19,8.49,88.74,64.93,58.42,61.74,47.98
157,24,6.81,72.2,70.6,63.5,42.02,56.16
158,19,5.39,79.76,91.89,66.71,48.58,69.0
159,18,6.06,97.35,52.69,61.2,36.62,28.26
160,21,3.25,88.76,51.04,22.48,22.8,51.37
161,24,10.39,74.78,63.25,76.81,55.18,57.93
162,18,5.76,67.31,87.58,76.78,60.11,60.03
163,25,5.72,52.18,49.21,68.51,29.81,51.6
164,21,6.95,69.37,29.52,39.22,3.4,48.48
165,19,6.46,75.47,65.23,64.97,40.19,32.83
166,18,5.95,66.15,80.28,49.9,29.32,47.83
167,25,3.92,76.42,90.0,41.26,36.24,28.01
168,24,6.44,78.92,65.05,70.0,37.61,50.31
169,24,9.26,75.3,65.83,73.21,65.93,53.89
170,23,8.19,70.2,89.31,93.67,69.71,65.26
171,25,8.69,80.02,43.95,45.19,35.18,26.7
172,22,4.48,83.3,66.17,59.5,45.1,25.28
173,20,3.52,64.92,74.86,73.94,49.94,56.79
174,21,5.25,94.93,78.74,68.5,52.68,68.42
175,25,5.61,76.82,64.35,60.61,33.89,39.6
176,23,7.69,78.23,72.52,70.72,38.86,56.64
177,20,2.12,86.5,34.68,11.82,0.0,3.41
178,20,8.56,80.8,62.13,81.96,53.95,55.16
179,18,5.18,89.44,78.8,57.97,47.54,47.32
180,20,4.65,81.45,57.27,55.13,31.04,33.09
181,22,3.48,70.65,72.88,38.36,32.05,35.65
182,24,2.19,82.34,78.7,40.25,22.3,42.09
183,23,7.15,64.28,66.86,79.71,51.27,55.63
184,20,5.65,79.3,74.56,60.12,55.57,36.87
185,18,2.92,77.6,57.56,57.87,32.42,37.13
186,22,2.91,75.5,68.9,48.75,28.12,43.51
187,19,4.83,76.46,81.15,45.53,32.07,38.12
188,24,8.84,55.42,74.35,85.17,54.02,74.93
189,24,4.98,71.42,63.2,48.79,24.21,33.35
190,23,2.49,79.11,75.36,58.41,30.05,42.45
191,24,5.01,79.92,82.72,65.78,55.36,45.14
192,20,4.95,65.67,41.25,27.08,10.91,44.56
193,18,0.5,93.19,89.39,52.81,22.7,59.08
194,24,5.39,67.61,66.96,80.35,63.58,42.2
195,24,5.04,89.63,78.38,68.19,53.52,64.64
196,19,6.89,83.13,89.96,76.47,49.69,63.33
197,19,9.2,70.25,51.42,75.83,48.3,46.97
198,21,7.75,99.3,61.36,66.87,55.65,42.82
199,22,4.96,63.68,67.67,59.16,51.46,38.99
200,20,3.29,89.03,60.24,35.37,14.15,40.15
201,24,10.65,90.01,98.02,98.84,97.01,66.03
202,25,5.62,69.95,59.15,65.36,52.05,62.53
203,24,5.53,94.71,63.67,48.77,33.83,29.53
204,18,,75.0,75.07,77.34,48.68,69.84
205,21,5.9,81.46,53.97,52.35,26.17,37.73
206,22,5.21,81.12,66.06,48.3,33.94,46.1
207,25,4.35,76.39,76.76,69.61,45.02,61.36
208,21,4.41,87.73,67.01,51.61,42.77,37.86
209,23,5.43,87.52,70.6,68.16,58.38,58.81
210,22,4.41,57.02,64.06,49.97,20.67,15.35
